Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP\
1,Los Angeles Chargers,10,145,3171,609,5.2,13,4,175,214,340,2066,12,9,5.5,99,235,1105,3,4.7,59,57,427,17,25.0,11.6,21.66\
2,Pittsburgh Steelers,10,162,3053,585,5.2,19,8,170,206,337,2145,9,11,5.9,100,224,908,8,4.1,58,73,630,12,29.1,16.4,27.13\
3,Minnesota Vikings,10,170,3092,612,5.1,21,5,175,233,369,2348,15,16,5.8,126,208,744,4,3.6,33,77,612,16,25.2,18.9,61.87\
4,Detroit Lions,10,177,3275,614,5.3,19,5,196,233,368,2327,7,14,5.9,117,221,948,9,4.3,50,62,471,29,31.8,17.3,26.06\
5,Philadelphia Eagles,10,179,2731,581,4.7,13,6,167,195,317,1732,9,7,5.0,96,236,999,7,4.2,58,45,331,13,32.1,11.3,28.33\
6,Denver Broncos,11,183,3183,685,4.6,13,5,198,239,360,2098,12,8,5.3,115,286,1085,6,3.8,55,76,526,28,30.6,9.9,48.24\
7,Chicago Bears,10,187,3277,585,5.6,17,8,174,180,288,1974,7,9,6.3,96,272,1303,11,4.8,68,64,458,10,34.8,15.2,18.91\
8,Kansas City Chiefs,10,191,2975,585,5.1,9,3,179,218,330,2122,14,6,6.1,107,236,853,8,3.6,55,61,489,17,37.1,9.3,-16.03\
9,Green Bay Packers,10,213,3271,612,5.3,19,9,198,206,313,2075,13,10,6.1,108,274,1196,10,4.4,76,62,492,14,35.2,17.1,-14.22\
10,Buffalo Bills,11,214,3620,670,5.4,21,8,216,257,373,2310,16,13,5.8,135,270,1310,6,4.9,64,83,653,17,33.9,17.9,-3.38\
11,Arizona Cardinals,10,220,3460,631,5.5,11,6,213,221,323,2185,11,5,6.3,122,284,1275,10,4.5,77,50,394,14,46.2,10.8,-70.14\
12,Miami Dolphins,10,221,3080,584,5.3,9,3,186,204,317,1990,10,6,6.0,108,250,1090,10,4.4,62,65,549,16,41.9,8.6,-11.92\
13,San Francisco 49ers,10,222,3022,594,5.1,16,5,180,204,321,1972,11,11,5.7,106,247,1050,13,4.3,61,50,372,13,38.8,14.6,-10.28\
14,New York Giants,10,222,3313,590,5.6,8,7,175,192,275,1842,12,1,5.9,91,279,1471,8,5.3,72,71,590,12,37.4,7.5,-29.40\
15,Houston Texans,11,236,3268,664,4.9,20,6,193,200,363,2071,22,14,5.2,109,267,1197,6,4.5,62,76,551,22,32.3,14.6,18.33\
16,Seattle Seahawks,10,238,3495,638,5.5,10,3,205,216,324,2109,15,7,6.1,107,291,1386,10,4.8,77,80,636,21,35.3,8.6,-26.11\
17,Los Angeles Rams,10,239,3506,625,5.6,15,5,204,199,299,2233,18,10,6.8,111,299,1273,7,4.3,73,74,627,20,43.8,13.3,-45.73\
18,New York Jets,11,242,3355,688,4.9,8,6,215,187,309,1924,8,2,5.6,99,345,1431,16,4.1,88,67,647,28,40.9,7.0,-42.63\
19,Washington Commanders,11,243,3683,661,5.6,10,6,221,196,298,2028,17,4,6.2,111,334,1655,13,5.0,92,60,517,18,40.2,9.3,-73.84\
20,New England Patriots,11,248,3797,680,5.6,8,4,220,220,336,2385,16,4,6.6,122,319,1412,10,4.4,77,66,538,21,38.9,5.3,-77.09\
21,Cleveland Browns,10,248,3427,595,5.8,7,5,175,180,293,2110,14,2,6.6,99,274,1317,14,4.8,66,62,491,10,33.9,5.1,-45.64\
22,Indianapolis Colts,11,250,4120,736,5.6,17,9,229,248,357,2546,16,8,6.7,126,354,1574,10,4.4,87,59,485,16,37.9,13.7,-30.70\
23,New Orleans Saints,11,260,4299,709,6.1,15,3,227,248,390,2823,10,12,6.8,127,294,1476,14,5.0,79,70,563,21,37.4,12.2,-51.02\
24,Tennessee Titans,10,263,2780,578,4.8,7,4,178,180,281,1646,15,3,5.5,88,277,1134,11,4.1,62,63,530,28,40.0,5.5,-24.16\
25,Tampa Bay Buccaneers,10,266,3893,664,5.9,12,7,223,258,376,2641,20,5,6.5,133,260,1252,9,4.8,70,58,565,20,45.3,9.4,-95.94\
26,Baltimore Ravens,11,271,3982,719,5.5,11,4,233,284,434,3130,22,7,6.7,163,250,852,7,3.4,43,63,500,27,42.6,9.0,-60.69\
27,Atlanta Falcons,11,274,3928,703,5.6,10,3,230,270,377,2529,21,7,6.5,129,316,1399,6,4.4,90,77,618,11,47.7,8.3,-66.44\
28,Las Vegas Raiders,10,285,3278,619,5.3,5,0,197,217,316,2027,18,5,6.1,118,284,1251,11,4.4,61,68,508,18,45.4,4.6,-56.03\
29,Dallas Cowboys,10,293,3657,619,5.9,9,3,204,186,277,2147,15,6,7.1,100,318,1510,18,4.7,90,78,574,14,46.8,8.1,-89.05\
30,Cincinnati Bengals,11,296,3910,717,5.5,11,5,238,237,370,2482,19,6,6.4,126,328,1428,15,4.4,94,61,481,18,40.8,9.2,-91.55\
31,Carolina Panthers,10,310,3869,668,5.8,11,6,234,211,307,2268,18,5,7.1,119,349,1601,17,4.6,94,59,516,21,48.7,8.8,-101.88\
32,Jacksonville Jaguars,11,316,4551,740,6.2,8,3,262,266,375,3061,23,5,7.7,156,344,1490,14,4.3,83,75,595,23,48.7,6.0,-136.39